PlayerCode,Name,Name clean,Rating,Stars,First,Last,fuzzy_key
2005222,Vincent Williams,Vincent Williams,0.9,4,Vincent,Williams,wilentamsvin
2005223,Shea McKeen,Shea McKeen,0.9,4,Shea,McKeen,mckheaeenshe
2005224,Lydell Sargeant,Lydell Sargeant,0.9,4,Lydell,Sargeant,sarellantlyd
2005225,Nick Reed,Nick Reed,0.9,4,Nick,Reed,reeickeednic
2005226,Chris Chancellor,Chris Chancellor,0.9,4,Chris,Chancellor,charislorchr
2005227,Colin Tucker,Colin Tucker,0.8778,3,Colin,Tucker,tuclinkercol
2005228,Jamar Chaney,Jamar Chaney,0.8778,3,Jamar,Chaney,chamarneyjam
2005229,Maurice Lucas,Maurice Lucas,0.8778,3,Maurice,Lucas,lucicecasmau
2005230,Corey Moon,Corey Moon,0.8778,3,Corey,Moon,mooreyooncor
2005231,Walter McFadden,Walter McFadden,0.8778,3,Walter,McFadden,mcfterdenwal
2005232,Clifford Respress,Clifford Respress,0.8778,3,Clifford,Respress,resordesscli
2005233,Jim Dray,Jim Dray,0.8778,3,Jim,Dray,drajimrayjim
2005234,Michael Coleman,Michael Coleman,0.8778,3,Michael,Coleman,colaelmanmic
2005235,Eddie Haupt,Eddie Haupt,0.8778,3,Eddie,Haupt,haudieuptedd
2005236,Robert Peele,Robert Peele,0.8778,3,Robert,Peele,peeertelerob
2005237,Louis Murphy,Louis Murphy,0.8778,3,Louis,Murphy,muruisphylou
2005238,Ryan Allison,Ryan Allison,0.8778,3,Ryan,Allison,allyansonrya
2005239,Terrel Nemons,Terrel Nemons,0.8778,3,Terrel,Nemons,nemrelonster
2005240,Brandon LaFell,Brandon LaFell,0.8778,3,Brandon,LaFell,lafdonellbra
2005241,Ryan Moya,Ryan Moya,0.8778,3,Ryan,Moya,moyyanoyarya
2005242,Kendell Davis,Kendell Davis,0.8778,3,Kendell,Davis,davellvisken
2005243,LaTerryal Savoy,LaTerryal Savoy,0.8778,3,LaTerryal,Savoy,savyalvoylat
2005244,Xavier Smith,Xavier Smith,0.8778,3,Xavier,Smith,smiierithxav
2005245,Fevaea'i AhMu,Fevaeai AhMu,0.8778,3,Fevaeai,AhMu,ahmeaihmufev
2005246,Domenic Natale,Domenic Natale,0.8778,3,Domenic,Natale,natnicaledom
2005247,Taurus Johnson,Taurus Johnson,0.8778,3,Taurus,Johnson,johrussontau
2005248,Gremon Coffman,Gremon Coffman,0.8778,3,Gremon,Coffman,cofmonmangre
2005249,Arkelon Hall,Arkelon Hall,0.8778,3,Arkelon,Hall,hallonallark
2005250,Nick Kyles,Nick Kyles,0.8778,3,Nick,Kyles,kylicklesnic
2005251,Jon Cooper,Jon Cooper,0.8778,3,Jon,Cooper,coojonperjon
2005252,Barry Humphries,Barry Humphries,0.8778,3,Barry,Humphries,humrryiesbar
2005253,Jeff Allen,Jeff Allen,0.8778,3,Jeff,Allen,allefflenjef
2005254,Michael Shelton,Michael Shelton,0.8778,3,Michael,Shelton,sheaeltonmic
2005255,Jahre Cheeseman,Jahre Cheeseman,0.8778,3,Jahre,Cheeseman,chehremanjah
2005256,Craig Roark,Craig Roark,0.8778,3,Craig,Roark,roaaigarkcra
2005257,Paul Duncan,Paul Duncan,0.8778,3,Paul,Duncan,dunaulcanpau
2005258,Thomas Austin,Thomas Austin,0.8778,3,Thomas,Austin,ausmastintho
2005259,Prince Hall,Prince Hall,0.8778,3,Prince,Hall,halnceallpri
2005260,Arkeith Brown,Arkeith Brown,0.8778,3,Arkeith,Brown,broithownark
2005261,Dion Foster,Dion Foster,0.8778,3,Dion,Foster,fosionterdio
2005262,Eric Houston,Eric Houston,0.8778,3,Eric,Houston,hourictoneri
2005263,Eric Sledge,Eric Sledge,0.8778,3,Eric,Sledge,slericdgeeri
2005264,Louis Vasquez,Louis Vasquez,0.8778,3,Louis,Vasquez,vasuisuezlou
2005265,Andrew Kemp,Andrew Kemp,0.8778,3,Andrew,Kemp,kemrewempand
2005266,Lorenzo Jones,Lorenzo Jones,0.8778,3,Lorenzo,Jones,jonnzoneslor
2005267,Brian Roche,Brian Roche,0.8778,3,Brian,Roche,rocianchebri
2005268,Ian Smith,Ian Smith,0.8778,3,Ian,Smith,smiianithian
2005269,Keegan Herring,Keegan Herring,0.8778,3,Keegan,Herring,herganingkee
2005270,Brodrick Hunter,Brodrick Hunter,0.8778,3,Brodrick,Hunter,hunickterbro
2005271,Lee Grimes,Lee Grimes,0.8778,3,Lee,Grimes,grileemeslee
2005272,Chris Cunigan,Chris Cunigan,0.8778,3,Chris,Cunigan,cunrisganchr
2005273,Brian Ellis,Brian Ellis,0.8778,3,Brian,Ellis,ellianlisbri
2005274,Rashawn Jackson,Rashawn Jackson,0.8778,3,Rashawn,Jackson,jacawnsonras
2005275,Jimmy Johns,Jimmy Johns,0.8778,3,Jimmy,Johns,johmmyhnsjim
2005276,Jared Cook,Jared Cook,0.8778,3,Jared,Cook,cooredookjar
2005277,Jeffrey Fitzgerald,Jeffrey Fitzgerald,0.8778,3,Jeffrey,Fitzgerald,fitreyaldjef
2005278,Darryl Gresham Jr.,Darryl Gresham Jr,0.8778,3,Darryl,Gresham Jr,greryljrdar
2005279,Cameron Sexton,Cameron Sexton,0.8778,3,Cameron,Sexton,sexrontoncam
2005280,Patrick Trahan,Patrick Trahan,0.8778,3,Patrick,Trahan,traickhanpat
2005281,Chase Daniel,Chase Daniel,0.8778,3,Chase,Daniel,danaseielcha
2005282,Jamari McCollough,Jamari McCollough,0.8778,3,Jamari,McCollough,mccariughjam
2005283,Vladimir Richard,Vladimir Richard,0.8778,3,Vladimir,Richard,ricmirardvla
2005284,Bobby Greenwood,Bobby Greenwood,0.8778,3,Bobby,Greenwood,grebbyoodbob
2005285,Chris McGaha,Chris McGaha,0.8778,3,Chris,McGaha,mcgrisahachr
2005286,Keith Fitzhugh,Keith Fitzhugh,0.8778,3,Keith,Fitzhugh,fitithughkei
2005287,Corderra Hunter,Corderra Hunter,0.8778,3,Corderra,Hunter,hunrratercor
2005288,Ronnie Wilson,Ronnie Wilson,0.8778,3,Ronnie,Wilson,wilniesonron
2005289,Matt Clapp,Matt Clapp,0.8778,3,Matt,Clapp,claattappmat
2005290,Alton Dixon,Alton Dixon,0.8778,3,Alton,Dixon,dixtonxonalt
2005291,Michael Houston,Michael Houston,0.8778,3,Michael,Houston,houaeltonmic
2005292,Ciron Black,Ciron Black,0.8778,3,Ciron,Black,blaronackcir
2005293,Dennis Landolt,Dennis Landolt,0.8778,3,Dennis,Landolt,lannisoltden
2005294,Jeff Cottam,Jeff Cottam,0.8778,3,Jeff,Cottam,cotefftamjef
2005295,Richard Quinn,Richard Quinn,0.8778,3,Richard,Quinn,quiardinnric
2005296,Joe Cox,Joe Cox,0.8778,3,Joe,Cox,coxjoecoxjoe
2005297,Brandon Perry,Brandon Perry,0.8778,3,Brandon,Perry,perdonrrybra
2005298,Simon Codrington,Simon Codrington,0.8778,3,Simon,Codrington,codmontonsim
2005299,Kestahn Moore,Kestahn Moore,0.8778,3,Kestahn,Moore,mooahnorekes
2005300,Charles Brown,Charles Brown,0.8778,3,Charles,Brown,brolesowncha
2005301,Mister Simpson,Mister Simpson,0.8778,3,Mister,Simpson,simtersonmis
2005302,Eric Hedstrom,Eric Hedstrom,0.8778,3,Eric,Hedstrom,hedricromeri
2005303,B.J. Travers,BJ Travers,0.8778,3,BJ,Travers,trabjersbj
2005304,Roddrick Muckelroy,Roddrick Muckelroy,0.8778,3,Roddrick,Muckelroy,mucickroyrod
2005305,Tyson Alualu,Tyson Alualu,0.8778,3,Tyson,Alualu,alusonalutys
2005306,Corey Robertson,Corey Robertson,0.8778,3,Corey,Robertson,robreysoncor
2005307,Barry Turner,Barry Turner,0.8778,3,Barry,Turner,turrrynerbar
2005308,Bret Lockett,Bret Lockett,0.8778,3,Bret,Lockett,locretettbre
2005309,Edward Britton,Edward Britton,0.8778,3,Edward,Britton,briardtonedw
2005310,Shelton Danzy,Shelton Danzy,0.8778,3,Shelton,Danzy,dantonnzyshe
2005311,Rod Owens,Rod Owens,0.8778,3,Rod,Owens,owerodensrod
2005312,Jerrell Wilkerson,Jerrell Wilkerson,0.8778,3,Jerrell,Wilkerson,wilellsonjer
